iter	Passed	Remaining
411	3816	3603
412	3825	3594
413	3835	3584
414	3844	3575
415	3854	3567
416	3863	3557
417	3872	3548
418	3882	3539
419	3891	3529
420	3900	3520
421	3909	3511
422	3919	3502
423	3928	3492
424	3938	3484
425	3947	3475
426	3956	3465
427	3961	3452
428	3970	3443
429	3980	3434
430	3989	3424
431	3998	3415
432	4007	3406
433	4017	3396
434	4025	3386
435	4034	3377
436	4044	3369
437	4054	3359
438	4063	3350
439	4072	3341
440	4081	3331
441	4090	3322
442	4100	3313
443	4109	3304
444	4119	3295
445	4128	3286
446	4137	3276
447	4146	3267
448	4155	3258
449	4165	3249
450	4174	3239
451	4183	3230
452	4192	3220
453	4201	3211
454	4210	3201
455	4219	3192
456	4228	3182
457	4237	3173
458	4246	3164
459	4255	3154
460	4264	3145
461	4273	3135
462	4282	3126
463	4291	3116
464	4300	3107
465	4309	3098
466	4318	3088
467	4327	3079
468	4336	3069
469	4345	3060
470	4355	3051
471	4365	3042
472	4375	3033
473	4384	3024
474	4393	3015
475	4402	3005
476	4411	2996
477	4421	2987
478	4430	2978
479	4439	2969
480	4448	2959
481	4457	2950
482	4466	2940
483	4476	2932
484	4486	2922
485	4495	2913
486	4504	2904
487	4512	2894
488	4521	2885
489	4527	2873
490	4536	2864
491	4546	2855
492	4555	2845
493	4564	2836
494	4574	2827
495	4583	2818
496	4587	2805
497	4595	2796
498	4605	2787
499	4614	2777
500	4623	2768
501	4632	2759
502	4641	2750
503	4651	2740
504	4660	2731
505	4669	2722
506	4678	2713
507	4687	2703
508	4696	2694
509	4706	2685
510	4715	2675
511	4724	2666
512	4733	2657
513	4742	2648
514	4752	2639
515	4761	2629
516	4770	2620
517	4779	2611
518	4789	2602
519	4799	2593
520	4808	2584
521	4817	2574
522	4826	2565
523	4835	2556
524	4844	2546
525	4853	2537
526	4863	2528
527	4872	2519
528	4882	2510
529	4891	2501
530	4900	2491
531	4909	2482
532	4919	2473
533	4928	2464
534	4937	2454
535	4946	2445
536	4954	2435
537	4964	2426
538	4973	2417
539	4983	2408
540	4991	2399
541	5002	2390
542	5011	2381
543	5020	2371
544	5029	2362
545	5038	2353
546	5047	2343
547	5056	2334
548	5066	2325
549	5075	2316
550	5084	2306
551	5093	2297
552	5103	2288
553	5112	2279
554	5121	2270
555	5131	2261
556	5141	2252
557	5150	2243
558	5160	2234
559	5170	2225
560	5180	2216
561	5189	2206
562	5199	2197
563	5208	2188
564	5218	2179
565	5228	2170
566	5237	2161
567	5246	2152
568	5255	2142
569	5264	2133
570	5273	2124
571	5282	2114
572	5292	2105
573	5301	2096
574	5310	2087
575	5319	2077
576	5328	2068
577	5338	2059
578	5346	2050
579	5355	2040
580	5364	2031
581	5374	2022
582	5382	2012
583	5392	2003
584	5401	1994
585	5410	1984
586	5419	1975
587	5428	1966
588	5437	1957
589	5446	1947
590	5456	1938
591	5465	1929
592	5475	1920
593	5484	1911
594	5494	1902
595	5503	1892
596	5512	1883
597	5521	1874
598	5531	1865
599	5540	1856
600	5549	1846
601	5559	1837
602	5568	1828
603	5577	1819
604	5587	1810
605	5596	1800
606	5605	1791
607	5614	1782
608	5623	1772
609	5632	1763
610	5641	1754
611	5650	1745
612	5659	1735
613	5669	1726
614	5678	1717
