model,rmse,mae,r2,mape
Mean Baseline,42.623039207609494,30.682514424217747,-0.17460592065276437,27.179328144189657
Median Baseline,47.49686365327427,33.98875968662182,-0.45858997509086374,27.757772276077514
Monthly Mean,42.10007607413005,30.514533905474263,-0.14595910527790235,26.618716450154672
Seasonal,42.39841165263637,30.739338375421813,-0.1622579695746147,27.278248840705217
Room Type,36.96899576729583,27.56698587228415,0.11635328879023066,24.519386986519983
ElasticNet (ML),31.787086835595346,24.392781524582286,0.34671179808466224,23.833572820578315
